date,0,1,2,3,4,5,6,7,8,9,10,11,rmm1,rmm2
2001-04-27,-73.57030999999999,-19.539062,203.83594,-88.296875,109.74219,4.234375,-5.328125,-118.66406,120.875,2.7265625,65.14844000000001,-113.41406,0.89922398,-0.34718001
2001-04-28,-88.58594000000001,-87.671875,225.64062,-129.42969,18.453125,-64.40625,-88.34375,-95.71094000000001,149.96875,-19.953125,13.9765625,-113.72656,1.08839,-0.31312001
2001-04-29,-6.359375,-53.054688,199.60938000000002,-36.296875,4.2265625,-35.414062,-33.664062,-13.5390625,160.75781,-6.859375,1.5546875,-46.054688,0.98698801,-0.22175001
2001-04-30,100.015625,39.976562,95.890625,74.78125,18.859375,61.75,86.24219000000001,30.882812,84.41405999999999,21.429688,61.789062,4.0390625,0.874291,-0.00177234004
2001-05-01,50.992188,12.3671875,94.6875,24.601562,100.66405999999999,107.77344,33.695312,-16.375,31.492188,-27.898438,144.39061999999998,-18.648438,0.74031299,0.22100799999999998
2001-05-02,-52.351562,-86.546875,271.33594,-61.742188,257.10938,1.484375,-142.73438000000002,-50.585938,150.96094,-69.25,138.80469,-66.265625,0.731341,0.400794
2001-05-03,-21.117188,-105.88281,292.1172,23.023438,221.09375,-103.08594000000001,-149.39844,16.257812,188.35156,17.273438,53.9375,-14.171875,0.36999699,0.590303
2001-05-04,74.609375,-10.5859375,114.94531,111.92969,32.53125,-32.523438,31.84375,98.94530999999999,56.9375,52.328125,11.9609375,27.421875,0.34537199,0.80033499
2001-05-05,116.203125,36.328125,-29.3125,87.46875,17.554688,52.664062,104.875,95.49219000000001,-15.8984375,-4.6953125,82.24219000000001,6.515625,0.14493901,0.94896299
2001-05-06,53.953125,5.28125,-31.976562,46.171875,43.078125,15.015625,61.210938,46.296875,6.2578125,-30.015625,89.07030999999999,-15.09375,-0.025652000699999997,0.93713301
2001-05-07,18.265625,11.9296875,-77.890625,-64.90625,51.390625,-0.8046875,71.515625,-38.101562,37.203125,6.7890625,32.25,-100.13280999999999,-0.0526303016,0.99248701
2001-05-08,18.046875,18.304688,-142.00781,-164.25,1.28125,0.609375,-23.945312,-47.65625,13.703125,17.367188,9.5546875,-136.05469,0.179828,1.1838598999999999
2001-05-09,108.21094,71.4375,-187.1875,-135.21875,43.148438,32.40625,-42.648438,26.140625,-28.078125,7.5,19.140625,-16.851562,0.38635501,1.53891
2001-05-10,127.22656,118.05469,-161.5625,-86.0625,51.234375,64.57030999999999,-2.625,40.914062,-39.90625,28.296875,6.8671875,74.359375,0.48385999,1.8210099999999998
2001-05-11,79.984375,141.53906,-38.117188,-136.91406,74.30469000000001,99.109375,22.882812,-18.085938,40.851562,15.2734375,58.132812,48.328125,0.58248103,1.78056
2001-05-12,-2.0390625,45.617188,143.0,-256.67188,136.45311999999998,66.99219000000001,-83.046875,17.867188,160.41406,24.765625,90.39844000000001,16.390625,0.49809599,1.6191200000000001
2001-05-13,-9.5234375,-19.765625,218.11719,-269.5078,168.63281,-6.578125,-181.46094,131.96875,199.36719,82.61719000000001,109.25781,56.015625,0.34362799,1.64215
2001-05-14,59.53125,-2.4765625,120.99219,-220.0625,96.11719000000001,-41.59375,-99.24219000000001,235.60156,132.21875,124.94531,88.328125,140.45311999999998,0.0182822999,1.3924
2001-05-15,111.953125,78.671875,50.820312,-71.75780999999999,8.5859375,5.6328125,6.4140625,280.58594,47.53125,108.953125,92.203125,204.64844,-0.27880999,1.16822
2001-05-16,124.203125,134.40625,32.320312,79.25,31.65625,122.3125,56.09375,234.88281,30.78125,41.226562,115.83594,173.3125,-0.5575,0.99910301
2001-05-17,119.921875,158.21875,51.640625,97.46094000000001,127.6875,170.21875,48.796875,209.88281,128.84375,20.148438,116.625,137.71094,-1.01421,0.97259402
2001-05-18,118.13281,100.28125,28.679688,12.6484375,153.24219,121.61719,-1.328125,242.60938,211.50781,79.75780999999999,71.47655999999999,75.625,-1.47853,1.01283
2001-05-19,81.14844000000001,52.765625,-33.992188,-46.5,124.99219,63.570312,-36.351562,181.5,186.96875,110.984375,33.695312,33.617188,-1.7468400000000002,1.2647700000000002
2001-05-20,25.15625,17.234375,-44.6875,-95.66405999999999,20.890625,-22.726562,-59.601562,108.99219,107.14844,10.265625,18.367188,28.117188,-1.9561400000000002,1.30663
2001-05-21,8.953125,-21.015625,-8.1015625,-137.70311999999998,-31.648438,-107.86719,-25.789062,77.125,72.60155999999999,36.523438,31.78125,49.421875,-2.0573398999999997,1.3719299999999999
2001-05-22,44.53125,18.015625,-3.2421875,-142.59375,10.0078125,-26.71875,78.07030999999999,60.273438,45.085938,111.49219,61.8125,35.664062,-2.0683,1.13001
2001-05-23,-5.421875,22.882812,64.828125,-200.55469,76.796875,68.390625,38.03125,17.984375,81.64844000000001,139.375,120.89844,-3.859375,-2.0724499,0.95799601
2001-05-24,-86.30469000000001,-58.5625,174.97656,-243.71875,183.0625,9.3203125,-120.92969,3.375,164.39844,195.5,145.77344,-36.921875,-1.74849,0.44043499
2001-05-25,-91.59375,-112.05469,155.09375,-171.57031,134.48438000000002,-86.78905999999999,-250.05469,92.83594000000001,155.23438000000002,260.28906,94.09375,10.140625,-1.4536901000000002,-0.36629
2001-05-26,-13.25,-44.921875,38.101562,3.1796875,3.953125,-53.515625,-145.69531,172.14844,81.453125,233.63281,63.898438,67.47655999999999,-1.34921,-0.63704997
2001-05-27,-1.4453125,8.0390625,11.3359375,-13.2734375,11.5703125,36.09375,-117.38281,98.78125,57.882812,129.25781,131.53125,39.546875,-1.42892,-0.7719
2001-05-28,-18.5625,3.4375,83.41405999999999,-43.6875,119.0625,84.015625,-151.15625,71.19530999999999,120.015625,70.5,193.46875,31.835938,-1.4075600000000001,-0.75505
2001-05-29,29.8125,-3.6796875,131.38281,-35.015625,123.75,56.4375,-196.96094,68.21094000000001,125.27344,142.42969,148.53125,32.53125,-1.3185,-0.91053998
2001-05-30,9.390625,-18.109375,120.32031,41.429688,70.203125,4.1640625,-234.48438,1.140625,94.109375,132.47656,50.65625,2.5625,-1.49701,-0.9824
2001-05-31,-2.296875,-44.820312,81.27344000000001,123.828125,10.3359375,-35.867188,-201.9375,49.773438,66.44530999999999,106.3125,16.523438,21.851562,-1.3730201000000002,-0.98765999
2001-06-01,38.789062,-44.148438,90.15625,245.3125,10.9375,-42.140625,-65.546875,170.38281,53.1875,151.71875,-1.953125,113.8125,-1.4196799999999998,-1.40291
2001-06-02,100.703125,48.335938,86.64844000000001,322.21094,1.6953125,22.148438,120.234375,258.78125,54.265625,190.61719,39.539062,160.74219,-1.36115,-1.50937
2001-06-03,83.52344000000001,98.58594000000001,90.96875,273.96875,-65.796875,79.97655999999999,210.25,143.9375,71.02344000000001,186.72656,76.203125,53.609375,-1.06224,-1.31836
2001-06-04,-6.5546875,18.921875,112.171875,66.640625,-14.984375,31.132812,85.796875,15.015625,109.77344,158.10156,121.375,-69.78125,-0.44088,-1.34874
2001-06-05,-56.648438,-58.03125,111.65625,-15.7578125,-13.9765625,-91.35155999999999,-55.5,-72.21875,116.77344,184.11719,118.171875,-106.546875,-0.0829161033,-1.28318
2001-06-06,-46.375,-81.015625,83.17969000000001,15.4140625,-27.5,-137.60938000000002,-130.375,-148.625,113.66406,141.92188000000002,109.5,-116.546875,-0.09148540349999999,-1.3470799999999998
2001-06-07,-127.17969,-101.33594000000001,77.42969000000001,-18.679688,-7.7578125,-148.07811999999998,-109.640625,-239.41406,88.13280999999999,48.9375,78.28905999999999,-193.85156,-0.29815,-1.11973
2001-06-08,-145.99219,-111.19531,125.84375,-50.71875,-24.9375,-154.82031,-150.25781,-266.5078,103.984375,-10.0390625,73.609375,-224.15625,-0.020448600900000002,-0.88595003
2001-06-09,-118.109375,-106.375,160.52344,-25.617188,-10.9296875,-139.86719,-124.88281,-179.95311999999998,118.19531,-6.1484375,92.67969000000001,-157.73438000000002,0.15962499,-0.85214001
2001-06-10,-98.46875,-78.69530999999999,134.64061999999998,-3.328125,90.4375,-70.171875,-160.95311999999998,-115.703125,141.44531,77.03125,142.80469,-57.546875,0.29770100000000005,-0.77407998
2001-06-11,-26.765625,-51.609375,61.757812,68.71094000000001,31.210938,-51.179688,-157.05469,13.9296875,81.15625,117.40625,75.671875,85.21875,0.15326799,-0.59233999
2001-06-12,52.015625,34.171875,45.648438,92.02344000000001,-42.5625,1.1328125,15.1015625,52.84375,20.867188,89.40625,33.9375,131.46094,-0.0392454006,-0.25497001
2001-06-13,104.44530999999999,96.8125,-50.492188,5.7734375,-48.960938,60.710938,119.55469,65.578125,9.6328125,53.179688,14.9140625,118.10156,-0.0604443997,0.048244599299999996
2001-06-14,96.17969000000001,116.609375,-74.265625,-35.601562,-17.6875,60.953125,161.73438000000002,11.5703125,-5.0,-12.9609375,-11.1171875,46.445312,0.235017,0.131512
2001-06-15,31.375,100.97655999999999,-50.117188,-83.46875,49.414062,26.273438,117.78125,-110.78906,-23.507812,-50.875,-57.21875,-76.734375,0.35719201,0.14214100000000002
2001-06-16,0.9765625,55.460938,-33.859375,-77.36719000000001,-43.34375,7.7421875,17.28125,-98.5625,-34.8125,-56.375,-67.59375,-135.25,0.29899299,0.108695
2001-06-17,20.648438,61.375,-73.578125,-145.89844,-219.53125,-21.734375,47.507812,-51.953125,-57.0,-66.90625,-61.9375,-149.55469,0.33602101,0.35506499
2001-06-18,12.484375,65.16405999999999,-81.796875,-263.71094,-163.8125,20.320312,115.57031,-12.4921875,-70.34375,-68.64844000000001,-50.023438,-137.8125,0.0716933981,0.193418
2001-06-19,-5.7578125,100.47655999999999,-13.765625,-358.6797,-19.804688,117.66406,124.46094,-54.9375,-20.46875,-18.078125,7.5234375,-161.26561999999998,0.0438003987,0.0109107001
2001-06-20,-13.921875,120.46094,28.320312,-409.64062,59.40625,192.32811999999998,65.22655999999999,-90.74219000000001,69.66405999999999,65.82030999999999,53.132812,-163.88281,0.22100100000000003,-0.10122
2001-06-21,12.109375,134.36719,78.1875,-454.35938,81.42969000000001,196.05469,-14.1328125,1.578125,167.04688000000002,118.046875,46.40625,-112.046875,0.41576001,-0.0706200972
2001-06-22,-6.453125,104.52344000000001,195.42969,-476.875,75.609375,207.80469,-106.796875,76.74219000000001,204.14844,97.80469000000001,121.828125,-37.296875,0.43339801,-0.26148000000000005
2001-06-23,-12.96875,15.6953125,171.94531,-367.0547,59.335938,178.59375,-136.85938000000002,134.99219,190.48438000000002,99.24219000000001,167.02344,15.2578125,0.195077,-0.16207001
2001-06-24,-5.609375,9.7109375,169.29688000000002,-185.1875,69.671875,146.375,-87.875,62.921875,181.375,76.78905999999999,174.58594,-16.8125,0.40850499,0.019140400000000002
2001-06-25,-16.164062,26.164062,215.97656,-104.42969000000001,175.23438000000002,164.24219,-73.359375,-62.75,191.17969,25.6875,222.48438,-99.91405999999999,0.56938601,0.37410301
2001-06-26,-36.164062,-11.625,257.6797,-128.96094,228.46094,146.39844,-115.99219,-137.82811999999998,221.34375,-4.5,243.04688,-136.08594,0.77253401,0.47532299
2001-06-27,26.179688,69.53125,202.70311999999998,-91.85155999999999,180.27344,153.89844,-41.71875,-49.007812,237.42188,-23.101562,210.21094,-44.914062,0.9442510000000001,0.95561701
2001-06-28,111.765625,131.39844,139.20311999999998,-72.21094000000001,50.320312,162.75781,13.6171875,-46.523438,163.92969,-14.7109375,184.0,17.375,0.99216598,1.06596
2001-06-29,117.10156,154.85938000000002,108.4375,-144.65625,60.992188,154.86719,106.28125,-150.23438000000002,113.27344,-7.7109375,143.66406,21.039062,0.84042299,1.1473
