date,0,1,2,3,4,5,6,7,8,9,10,11
1946-05-14,18.195312,-77.65625,-101.80469000000001,-62.054688,-143.41406,-66.53125,-331.10156,-162.25,-53.234375,-13.15625,-69.03905999999999,-94.32030999999999
1946-05-15,31.0625,-51.890625,-191.25,-175.60938000000002,-185.83594,-50.125,-314.53125,-113.140625,-122.58594,-72.07030999999999,-47.703125,-65.21875
1946-05-16,59.859375,0.796875,-52.757812,-53.273438,-100.265625,-27.773438,-92.11719000000001,-61.960938,-48.007812,-46.96875,-10.484375,16.835938
1946-05-17,150.58594,97.41405999999999,5.6640625,66.953125,-11.71875,-28.460938,87.125,-42.710938,-5.5078125,-39.84375,36.617188,86.84375
1946-05-18,155.24219,139.95311999999998,64.02344000000001,27.054688,-16.171875,5.8203125,142.1875,-26.40625,35.921875,7.3046875,16.601562,29.796875
1946-05-19,99.83594000000001,34.429688,1.3203125,-77.96094000000001,-79.625,-1.9453125,45.0625,-55.03125,71.28125,41.476562,10.4765625,3.703125
1946-05-20,98.35155999999999,-15.15625,-166.42969,-55.09375,-171.07811999999998,-78.74219000000001,23.734375,-117.58594,-67.42969000000001,-41.328125,-38.75,74.5625
1946-05-21,191.8125,76.19530999999999,-119.234375,41.640625,-127.515625,-95.5625,154.19531,-131.08594,-53.203125,-14.1015625,-37.0625,111.38281
1946-05-22,243.21094,173.48438000000002,-72.078125,158.24219,-120.9375,-13.4140625,204.44531,-56.515625,-114.03906,-12.8515625,15.53125,188.15625
1946-05-23,222.54688,147.71875,26.046875,149.71875,-23.34375,66.703125,144.46875,-16.875,-9.9296875,-9.5625,11.0390625,169.88281
1946-05-24,246.82812,158.89061999999998,-28.867188,204.05469,-89.71875,136.80469,211.26562,46.828125,39.125,95.75,-3.515625,187.57811999999998
1946-05-25,225.05469,143.01561999999998,11.1875,324.26562,-93.05469000000001,161.89061999999998,258.8203,113.60156,-14.8828125,120.10156,36.851562,214.23438
1946-05-26,202.23438000000002,49.09375,48.226562,237.33594,90.64844000000001,51.960938,188.13281,133.4375,45.070312,77.47655999999999,11.1640625,199.85156
1946-05-27,125.359375,17.132812,167.25,239.26562,113.39844,-2.9765625,176.1875,78.34375,93.96875,27.890625,23.429688,138.4375
1946-05-28,152.44531,53.125,106.25781,180.0625,47.203125,50.078125,208.0,146.3125,66.828125,27.34375,27.648438,102.0
1946-05-29,137.49219,2.078125,31.265625,129.71875,-17.9375,68.125,154.53906,212.35156,-41.34375,33.828125,72.83594000000001,107.53125
1946-05-30,100.49219000000001,-67.00780999999999,6.2734375,23.242188,-10.0078125,53.171875,102.82030999999999,149.46875,-22.5625,19.351562,144.99219,30.03125
1946-05-31,51.460938,-133.11719,64.28125,-96.375,15.9921875,-57.773438,19.835938,48.648438,1.1953125,10.90625,140.125,-39.484375
1946-06-01,0.3984375,-161.26561999999998,-13.703125,-61.125,-56.9375,-136.71875,-44.421875,61.898438,-71.078125,5.5078125,46.25,-69.015625
1946-06-02,7.3046875,-129.42969,-114.66406,27.976562,-55.773438,-166.64844,6.046875,171.21875,-52.375,-12.859375,22.375,-36.570312
1946-06-03,37.1875,-114.61719,-76.609375,48.953125,35.476562,-96.57030999999999,-14.765625,346.6172,55.3125,-6.1796875,162.50781,10.8671875
1946-06-04,92.05469000000001,-34.828125,80.47655999999999,22.789062,147.82811999999998,-102.47655999999999,-50.851562,384.08594,107.984375,28.53125,188.64844,44.289062
1946-06-05,84.89844000000001,-80.05469000000001,225.59375,35.5,89.27344000000001,-145.35938000000002,-91.21094000000001,278.625,194.64061999999998,41.289062,117.8125,-1.296875
1946-06-06,101.72655999999999,-60.289062,196.75,92.07030999999999,16.828125,-131.21875,-48.851562,242.25,183.29688000000002,-4.9140625,113.00781,56.109375
1946-06-07,107.53906,-14.53125,-2.0546875,155.51561999999998,13.5,-72.05469000000001,54.226562,214.94531,93.953125,-80.078125,124.24219,144.52344
1946-06-08,143.35156,53.21875,-5.8125,92.83594000000001,77.28125,-11.859375,175.03125,142.71094,70.60155999999999,-63.203125,176.52344,113.92969
